n,time_s
5,3.840999852400273e-06
7,3.3520000215503387e-06
10,3.2830002965056337e-06
12,3.840999852400273e-06
15,5.656999746861402e-06
17,5.727000370825408e-06
20,5.237999630480772e-06
22,5.588000021816697e-06
25,6.146000032458687e-06
27,6.216000201675342e-06
30,6.773999757569982e-06
32,6.705000032525277e-06
35,7.683000148972496e-06
37,8.520999926986406e-06
40,8.729999990464421e-06
42,9.42899987421697e-06
45,1.040600000123959e-05
501,0.00014603899990106584
631,0.00018989999989571515
794,0.00024416699989160406
1000,0.0002938949996860174
1259,0.0003934199999093835
1585,0.0005436500000541855
1995,0.000755410999772721
2512,0.001037921999795799
3162,0.0014891710002302716
3981,0.0021291339999152115
5012,0.0030771689998800866
6310,0.004566130000057456
7943,0.006924763999904826
10000,0.008347027000127127
12589,0.010622338999837666
15849,0.012659769999572745
