n,time_s
5,4.259999968780903e-06
7,3.7009999687143136e-06
10,4.330000137997558e-06
12,3.842000296572223e-06
15,3.7710001379309688e-06
17,3.840999852400273e-06
20,3.772000127355568e-06
22,3.7710001379309688e-06
25,4.330000137997558e-06
27,4.259999968780903e-06
30,4.2609999582055025e-06
32,4.190999788988847e-06
35,3.7710001379309688e-06
37,4.259999968780903e-06
40,4.190000254311599e-06
42,4.330000137997558e-06
45,4.750000243802788e-06
501,7.053999979689252e-06
631,7.474000085494481e-06
794,8.032000096136471e-06
1000,7.542999810539186e-06
1259,9.638999927119585e-06
1585,8.660999810672365e-06
1995,9.777999821380945e-06
2512,1.124400023400085e-05
3162,1.3897999906475889e-05
3981,1.7181000202981522e-05
5012,2.0883000161120435e-05
6310,2.95429999823682e-05
7943,3.715499997269944e-05
10000,5.2522000260069035e-05
12589,8.09469997875567e-05
15849,0.00010441399990668288
