n,time_s
5,2.373999905103119e-06
7,2.3749998945277184e-06
10,2.7940000109083485e-06
12,2.305000180058414e-06
15,3.3520000215503387e-06
17,2.793000021483749e-06
20,3.351999566802988e-06
22,2.7940000109083485e-06
25,2.7940000109083485e-06
27,2.7940000109083485e-06
30,3.421999736019643e-06
32,2.8629997359530535e-06
35,2.7940000109083485e-06
37,2.4440000743197743e-06
40,4.259999968780903e-06
42,3.7710001379309688e-06
45,4.399999852466863e-06
501,4.064799986736034e-05
631,5.1123999583069235e-05
794,6.767700006093946e-05
1000,8.904900005290983e-05
1259,0.00011628699985521962
1585,0.00016147499991348013
1995,0.00020959499988748576
2512,0.0002857240001503669
3162,0.0003278379999755998
3981,0.0004515989999163139
5012,0.0006493209998552629
6310,0.0010622969998621556
7943,0.0015168289996836393
10000,0.0022030260001884017
12589,0.0030067679999774555
15849,0.00452834600037022
