n,time_s
5,3.911000021616928e-06
7,3.772000127355568e-06
10,4.679000085161533e-06
12,3.772000127355568e-06
15,4.818999968847493e-06
17,4.7489997996308375e-06
20,4.750000243802788e-06
22,4.889000138064148e-06
25,4.818999968847493e-06
27,5.1679999160114676e-06
30,5.377999968914082e-06
32,5.238000085228123e-06
35,5.587000032392098e-06
37,5.726999916078057e-06
40,5.168999905436067e-06
42,5.097999746794812e-06
45,6.076000317989383e-06
501,1.2501999663072638e-05
631,1.1872999948536744e-05
794,1.096500000130618e-05
1000,1.3548999959311914e-05
1259,1.6553000023122877e-05
1585,1.7041000319295563e-05
1995,2.1022000055381795e-05
2512,2.982200021506287e-05
3162,3.51310000041849e-05
3981,4.546699983620783e-05
5012,7.431200037899544e-05
6310,8.681400004206807e-05
7943,0.00012229300000399235
10000,0.00022111899988885853
12589,0.00026840300006369944
15849,0.00033908200020960066
