n,time_s
5,5.1679999160114676e-06
7,4.7489997996308375e-06
10,5.588000021816697e-06
12,6.2159997469279915e-06
15,7.612999979755841e-06
17,8.032000096136471e-06
20,9.56899975790293e-06
22,9.917000170389656e-06
25,1.138400011768681e-05
27,1.138400011768681e-05
30,1.2430999959178735e-05
32,1.2502000117819989e-05
35,1.3269999726617243e-05
37,1.4387999726750422e-05
40,1.5296000128728338e-05
42,1.7111000033764867e-05
45,1.7808999928092817e-05
501,0.00022824400002718903
631,0.0003247649997319968
794,0.00035856900012731785
1000,0.00047436700015168753
1259,0.0006197780003276421
1585,0.0008700910002517048
1995,0.0009682889999567124
2512,0.001338033000138239
3162,0.001909689000058279
3981,0.0021212409997133364
5012,0.002702326999951765
6310,0.0035620109997580585
7943,0.0051036340000791824
10000,0.00645074600015505
12589,0.00956842300001881
15849,0.012362661999759439
